Data;Valor
01/05/2023;5.125,55
01/04/2023;4.168,13
01/03/2023;5.032,82
01/02/2023;3.509,75
01/01/2023;2.869,98
01/12/2022;7.490,84
01/11/2022;4.746,80
01/10/2022;3.922,65
01/09/2022;4.915,18
01/08/2022;4.329,34
01/07/2022;4.295,70
01/06/2022;4.141,02
01/05/2022;4.768,20
01/04/2022;4.068,50
01/03/2022;4.195,21
01/02/2022;3.033,48
01/01/2022;2.024,88
01/12/2021;6.938,82
01/11/2021;3.696,52
01/10/2021;3.933,58
01/09/2021;4.044,17
01/08/2021;3.844,20
01/07/2021;3.859,64
01/06/2021;3.842,42
01/05/2021;3.912,86
01/04/2021;3.693,26
01/03/2021;3.715,07
01/02/2021;2.474,56
01/01/2021;1.786,21
01/12/2020;6.463,41
01/11/2020;3.560,06
01/10/2020;3.679,89
01/09/2020;4.974,68
01/08/2020;3.321,15
01/07/2020;3.427,45
01/06/2020;3.467,17
01/05/2020;3.400,87
01/04/2020;3.680,56
01/03/2020;3.968,40
01/02/2020;3.069,82
01/01/2020;2.119,15
01/12/2019;6.239,27
01/11/2019;4.248,40
01/10/2019;4.519,54
01/09/2019;3.379,17
01/08/2019;3.780,88
01/07/2019;3.996,95
01/06/2019;3.524,87
01/05/2019;4.102,12
01/04/2019;3.682,11
01/03/2019;3.344,26
01/02/2019;3.370,87
01/01/2019;2.267,71
01/12/2018;6.130,87
01/11/2018;4.018,18
01/10/2018;4.451,93
01/09/2018;3.713,77
01/08/2018;4.259,78
01/07/2018;3.685,78
01/06/2018;3.789,00
01/05/2018;3.776,34
01/04/2018;3.597,36
01/03/2018;3.938,90
01/02/2018;2.749,36
01/01/2018;2.426,56
01/12/2017;7.377,18
01/11/2017;3.998,57
01/10/2017;3.914,58
01/09/2017;3.468,25
01/08/2017;3.673,28
01/07/2017;3.418,72
01/06/2017;3.887,43
01/05/2017;3.724,42
01/04/2017;2.865,26
01/03/2017;3.610,18
01/02/2017;3.042,44
01/01/2017;1.992,69
01/12/2016;7.855,55
01/11/2016;4.381,11
01/10/2016;4.398,91
01/09/2016;3.866,80
01/08/2016;3.841,37
01/07/2016;3.887,86
01/06/2016;3.923,73
01/05/2016;3.583,53
01/04/2016;3.691,34
01/03/2016;3.536,75
01/02/2016;3.295,11
01/01/2016;3.080,13
01/12/2015;5.077,25
01/11/2015;3.638,44
01/10/2015;4.151,52
01/09/2015;3.783,29
01/08/2015;3.493,20
01/07/2015;3.902,53
01/06/2015;3.680,34
01/05/2015;3.493,28
01/04/2015;2.966,69
01/03/2015;3.215,18
01/02/2015;2.685,99
01/01/2015;2.321,83
01/12/2014;4.802,04
01/11/2014;3.822,97
01/10/2014;3.894,19
01/09/2014;3.534,59
01/08/2014;3.397,72
01/07/2014;3.910,83
01/06/2014;3.166,16
01/05/2014;3.591,96
01/04/2014;3.224,72
01/03/2014;2.888,90
01/02/2014;2.643,13
01/01/2014;2.566,42
01/12/2013;5.050,72
01/11/2013;3.082,38
01/10/2013;3.533,80
01/09/2013;2.901,84
01/08/2013;3.145,16
01/07/2013;3.380,91
01/06/2013;2.812,74
01/05/2013;3.036,03
01/04/2013;3.151,06
01/03/2013;2.824,48
01/02/2013;2.184,49
01/01/2013;2.153,43
01/12/2012;4.546,69
01/11/2012;3.096,54
01/10/2012;3.329,51
01/09/2012;2.510,36
01/08/2012;3.052,78
01/07/2012;2.928,75
01/06/2012;2.761,50
01/05/2012;2.970,86
01/04/2012;2.897,49
01/03/2012;2.943,04
01/02/2012;2.240,25
01/01/2012;2.379,57
01/12/2011;4.943,12
01/11/2011;2.605,00
01/10/2011;2.663,97
01/09/2011;2.623,70
01/08/2011;2.600,89
01/07/2011;2.576,43
01/06/2011;2.506,72
01/05/2011;2.530,81
01/04/2011;2.516,99
01/03/2011;2.549,70
01/02/2011;2.211,22
01/01/2011;2.317,28
